geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
Suisun MZ1	38.0933974217999	38.0933974217999	-121.886406304	-121.886406304
Suisun CO1	38.1928358059999	38.1928358059999	-122.026567492	-122.026567492
Suisun CR1L	38.1523680042	38.1523680042	-122.088916788	-122.088916788
Suisun CR2L	38.1470677928	38.1470677928	-122.086966485999	-122.086966485999
Suisun CR3L	38.1369382526999	38.1369382526999	-122.094150294	-122.094150294
Suisun NS3L	38.1723923727	38.1723923727	-121.928698002	-121.928698002
Suisun NS2L	38.1828872494999	38.1828872494999	-121.926063654	-121.926063654
Suisun DV1L	38.207065942	38.207065942	-121.9103381	-121.9103381
Suisun DV2L	38.2028488162	38.2028488162	-121.907822216	-121.907822216
Suisun DV3L	38.1986301242	38.1986301242	-121.915573053	-121.915573053
Suisun NS1L	38.1927966563999	38.1927966563999	-121.929331864999	-121.929331864999
Suisun SB3L	38.2042913603999	38.2042913603999	-122.029121599	-122.029121599
Suisun SB1L	38.2012984241999	38.2012984241999	-122.030714754	-122.030714754
Suisun SU2L	38.2094781746	38.2094781746	-122.034726357	-122.034726357
Suisun SU1L	38.2178674036999	38.2178674036999	-122.030960108	-122.030960108
Suisun SB2L	38.1966381049	38.1966381049	-122.029085999	-122.029085999
Suisun SU3L	38.1983728928	38.1983728928	-122.043382894999	-122.043382894999
Suisun GY1	38.1021223780999	38.1021223780999	-122.094252342999	-122.094252342999
Suisun SU3	38.1394452834	38.1394452834	-122.073027256	-122.073027256
Suisun GY3	38.1323976286	38.1323976286	-122.086693032	-122.086693032
Suisun PT2	38.2218802316999	38.2218802316999	-122.043585045	-122.043585045
Suisun LU1	38.2107313519	38.2107313519	-121.920978592	-121.920978592
Suisun CO2	38.1889003798999	38.1889003798999	-122.02072759	-122.02072759
Suisun PT3	38.2262390189999	38.2262390189999	-122.037495114	-122.037495114
Suisun MZN3	38.1503740699	38.1503740699	-121.916719863	-121.916719863
Suisun NS1	38.1927966563999	38.1927966563999	-121.929331864999	-121.929331864999
Suisun SB0_5	38.2028989893	38.2028989893	-122.028801814999	-122.028801814999
Suisun BY2	38.2133013887999	38.2133013887999	-122.046772457	-122.046772457
Suisun GR3	38.1890372343	38.1890372343	-122.011815268	-122.011815268
Suisun SUVOL	38.1806134659999	38.1806134659999	-122.048372156	-122.048372156
Suisun GR4	38.1843642308	38.1843642308	-122.013552641999	-122.013552641999
Suisun BY4	38.2056638851	38.2056638851	-122.05820831	-122.05820831
Suisun BY5	38.2112633938	38.2112633938	-122.038146913	-122.038146913
Suisun BY6	38.2100702663	38.2100702663	-122.038696977	-122.038696977
Suisun CO3	38.1937543977999	38.1937543977999	-122.037086457	-122.037086457
Suisun CO4	38.1920104853	38.1920104853	-122.029115454	-122.029115454
Suisun DV4	38.2045125424999	38.2045125424999	-121.910481899	-121.910481899
Suisun GR1	38.1896276997999	38.1896276997999	-122.007594713	-122.007594713
Suisun GR2	38.1906449804	38.1906449804	-122.008585553	-122.008585553
Suisun GY4	38.0972713107	38.0972713107	-122.092471058	-122.092471058
Suisun HL1	38.219706578	38.219706578	-122.025129466	-122.025129466
Suisun MZ3	38.0714688744999	38.0714688744999	-121.86934124	-121.86934124
Suisun MZ4	38.0805235142	38.0805235142	-121.88550427	-121.88550427
Suisun MZ5	38.0914364964	38.0914364964	-121.885378993	-121.885378993
Suisun MZ7	38.1640284619999	38.1640284619999	-121.931158275	-121.931158275
Suisun MZ8	38.1672698388	38.1672698388	-121.933747013	-121.933747013
Suisun PT0.1	38.2239146129999	38.2239146129999	-122.052767394	-122.052767394
Suisun RO1	38.1599342482999	38.1599342482999	-122.075122607	-122.075122607
Suisun SB3	38.2042913603999	38.2042913603999	-122.029121599	-122.029121599
Suisun SU5	38.2128004411	38.2128004411	-122.034891857	-122.034891857
Suisun SU6	38.1936032133	38.1936032133	-122.039941741	-122.039941741
Suisun SU7	38.1902982283	38.1902982283	-122.039749552	-122.039749552
Suisun WL1	38.1841757258	38.1841757258	-122.06791536	-122.06791536
Suisun WL2	38.1812685455999	38.1812685455999	-122.07241696	-122.07241696
Suisun WL3	38.1746627758	38.1746627758	-122.065178618	-122.065178618
SKT 809	38.0537777777778	38.0537777777778	-121.693027777778	-121.693027777778
SKT 812	38.0899166666667	38.0899166666667	-121.639916666667	-121.639916666667
SKT 815	38.0871388888889	38.0871388888889	-121.571138888889	-121.571138888889
SKT 902	38.0203888888889	38.0203888888889	-121.582666666667	-121.582666666667
